timestamp,x00,y00,z00,vis00,x01,y01,z01,vis01,x02,y02,z02,vis02,x03,y03,z03,vis03,x04,y04,z04,vis04,x05,y05,z05,vis05,x06,y06,z06,vis06,x07,y07,z07,vis07,x08,y08,z08,vis08,x09,y09,z09,vis09,x10,y10,z10,vis10,x11,y11,z11,vis11,x12,y12,z12,vis12,x13,y13,z13,vis13,x14,y14,z14,vis14,x15,y15,z15,vis15,x16,y16,z16,vis16,x17,y17,z17,vis17,x18,y18,z18,vis18,x19,y19,z19,vis19,x20,y20,z20,vis20,x21,y21,z21,vis21,x22,y22,z22,vis22,x23,y23,z23,vis23,x24,y24,z24,vis24,x25,y25,z25,vis25,x26,y26,z26,vis26,x27,y27,z27,vis27,x28,y28,z28,vis28,x29,y29,z29,vis29,x30,y30,z30,vis30,x31,y31,z31,vis31,x32,y32,z32,vis32
1650045399.85798,0.02856,-0.64693,-0.17652,0.99998,0.03485,-0.68207,-0.15418,0.99995,0.03528,-0.68257,-0.15354,0.99995,0.03511,-0.68309,-0.15353,0.99993,0.00307,-0.67975,-0.15765,0.99996,0.00361,-0.68096,-0.15809,0.99997,0.00340,-0.68204,-0.15759,0.99997,0.07545,-0.66774,-0.03191,0.99991,-0.07103,-0.66427,-0.06327,0.99998,0.04647,-0.62159,-0.13436,0.99997,0.00325,-0.61877,-0.14303,0.99999,0.15094,-0.53184,-0.00486,0.99990,-0.16205,-0.46939,0.00476,0.99996,0.18315,-0.65309,-0.15487,0.99477,-0.22807,-0.21584,0.04692,0.98750,0.00749,-0.81936,-0.28863,0.99214,-0.27812,-0.00146,-0.00925,0.97750,-0.04586,-0.81987,-0.32910,0.97395,-0.27722,0.06835,-0.01593,0.95146,-0.07503,-0.83274,-0.32011,0.97344,-0.27579,0.07185,-0.04534,0.95434,-0.01529,-0.82407,-0.28915,0.97007,-0.27009,0.01391,-0.02068,0.94566,0.11460,0.00076,0.00817,0.99986,-0.11489,-0.00133,-0.00696,0.99986,0.10055,0.42517,-0.00274,0.99191,-0.07209,0.39233,0.00897,0.99433,0.14917,0.73998,0.16605,0.98546,-0.05044,0.73653,0.17765,0.98798,0.15954,0.78274,0.17434,0.88446,-0.04622,0.78268,0.18386,0.82420,0.18214,0.84597,0.05905,0.98170,-0.05481,0.85763,0.05681,0.98141
1650045399.87504,0.03177,-0.66013,-0.17260,0.99997,0.03729,-0.69177,-0.15095,0.99990,0.03769,-0.69229,-0.15028,0.99991,0.03754,-0.69275,-0.15028,0.99988,0.00688,-0.68834,-0.15299,0.99993,0.00746,-0.68953,-0.15346,0.99994,0.00727,-0.69061,-0.15293,0.99994,0.07630,-0.66974,-0.03599,0.99981,-0.06425,-0.66405,-0.06027,0.99995,0.04930,-0.63252,-0.13313,0.99994,0.00776,-0.62854,-0.13967,0.99997,0.15129,-0.53515,-0.02247,0.99988,-0.16265,-0.46925,0.00244,0.99994,0.14138,-0.62244,-0.17057,0.99444,-0.22819,-0.21569,0.04415,0.98576,-0.03768,-0.76465,-0.31875,0.99153,-0.27511,-0.00029,-0.01549,0.97460,-0.09022,-0.76009,-0.36224,0.97223,-0.27227,0.07047,-0.02283,0.94715,-0.11540,-0.77523,-0.35609,0.97137,-0.26796,0.07135,-0.05189,0.94998,-0.05818,-0.76971,-0.32025,0.96671,-0.26501,0.01462,-0.02697,0.93979,0.11461,0.00126,0.00652,0.99986,-0.11490,-0.00180,-0.00530,0.99985,0.09814,0.42427,-0.00229,0.99215,-0.07431,0.39189,0.01760,0.99430,0.14402,0.73973,0.17207,0.98588,-0.05470,0.73618,0.18174,0.98810,0.15397,0.78250,0.18130,0.88312,-0.05106,0.78212,0.18743,0.82294,0.17393,0.84629,0.06755,0.98218,-0.06204,0.85742,0.06389,0.98156
1650045399.89072,0.04470,-0.67411,-0.15688,0.99996,0.05077,-0.70340,-0.13693,0.99982,0.05109,-0.70381,-0.13630,0.99983,0.05095,-0.70424,-0.13626,0.99977,0.02226,-0.70024,-0.13804,0.99988,0.02290,-0.70145,-0.13843,0.99990,0.02265,-0.70253,-0.13798,0.99991,0.08696,-0.67141,-0.02883,0.99960,-0.04482,-0.66618,-0.04739,0.99990,0.06081,-0.64292,-0.11956,0.99987,0.02191,-0.63989,-0.12460,0.99993,0.15429,-0.53237,-0.02338,0.99982,-0.15622,-0.46920,0.00884,0.99993,0.09826,-0.59542,-0.16268,0.99086,-0.22346,-0.21405,0.06140,0.98285,-0.08365,-0.72249,-0.24124,0.98055,-0.27494,-0.00031,0.02382,0.96897,-0.13610,-0.71383,-0.27867,0.94929,-0.27249,0.06862,0.01994,0.93872,-0.15297,-0.72810,-0.26809,0.94724,-0.26935,0.06809,-0.01014,0.94192,-0.10034,-0.72686,-0.24031,0.93991,-0.26494,0.01364,0.01244,0.93051,0.11455,0.00159,0.00607,0.99986,-0.11484,-0.00210,-0.00482,0.99985,0.09783,0.42118,-0.00680,0.99217,-0.07452,0.39017,0.01789,0.99395,0.13820,0.73658,0.17315,0.98601,-0.05518,0.73058,0.18225,0.98799,0.14703,0.77874,0.18366,0.87981,-0.05168,0.77622,0.18802,0.81963,0.16540,0.84540,0.07354,0.98219,-0.06219,0.85387,0.07155,0.98130
1650045399.90693,0.04203,-0.67258,-0.16505,0.99996,0.04815,-0.70178,-0.14508,0.99983,0.04844,-0.70222,-0.14448,0.99984,0.04831,-0.70267,-0.14441,0.99979,0.01980,-0.69881,-0.14554,0.99988,0.02042,-0.70005,-0.14601,0.99990,0.02023,-0.70113,-0.14549,0.99991,0.08544,-0.67128,-0.03285,0.99962,-0.04969,-0.66598,-0.04960,0.99991,0.05747,-0.64188,-0.12620,0.99987,0.01809,-0.63894,-0.13065,0.99994,0.15406,-0.51907,-0.02401,0.99981,-0.15583,-0.46941,0.00928,0.99993,0.09401,-0.46411,-0.17289,0.98868,-0.22213,-0.21458,0.05271,0.98247,-0.05552,-0.57895,-0.33868,0.97957,-0.26702,-0.00064,0.01882,0.96764,-0.09971,-0.57461,-0.38003,0.94798,-0.26675,0.06925,0.01374,0.93604,-0.11042,-0.59153,-0.37303,0.94581,-0.26050,0.06923,-0.01387,0.93921,-0.07016,-0.58464,-0.33920,0.93668,-0.25654,0.01373,0.00685,0.92733,0.11417,0.00156,0.00596,0.99986,-0.11444,-0.00208,-0.00471,0.99985,0.09798,0.41969,-0.00609,0.99209,-0.07547,0.39064,0.01904,0.99377,0.13976,0.73668,0.17103,0.98596,-0.05899,0.73737,0.17817,0.98788,0.14895,0.77895,0.18100,0.87495,-0.05607,0.78330,0.18435,0.81576,0.16903,0.84688,0.07096,0.98212,-0.06680,0.86139,0.06800,0.98100
1650045399.92361,0.04203,-0.67258,-0.16505,0.99996,0.04815,-0.70178,-0.14508,0.99983,0.04844,-0.70222,-0.14448,0.99984,0.04831,-0.70267,-0.14441,0.99979,0.01980,-0.69881,-0.14554,0.99988,0.02042,-0.70005,-0.14601,0.99990,0.02023,-0.70113,-0.14549,0.99991,0.08544,-0.67128,-0.03285,0.99962,-0.04969,-0.66598,-0.04960,0.99991,0.05747,-0.64188,-0.12620,0.99987,0.01809,-0.63894,-0.13065,0.99994,0.15406,-0.51907,-0.02401,0.99981,-0.15583,-0.46941,0.00928,0.99993,0.09401,-0.46411,-0.17289,0.98868,-0.22213,-0.21458,0.05271,0.98247,-0.05552,-0.57895,-0.33868,0.97957,-0.26702,-0.00064,0.01882,0.96764,-0.09971,-0.57461,-0.38003,0.94798,-0.26675,0.06925,0.01374,0.93604,-0.11042,-0.59153,-0.37303,0.94581,-0.26050,0.06923,-0.01387,0.93921,-0.07016,-0.58464,-0.33920,0.93668,-0.25654,0.01373,0.00685,0.92733,0.11417,0.00156,0.00596,0.99986,-0.11444,-0.00208,-0.00471,0.99985,0.09798,0.41969,-0.00609,0.99209,-0.07547,0.39064,0.01904,0.99377,0.13976,0.73668,0.17103,0.98596,-0.05899,0.73737,0.17817,0.98788,0.14895,0.77895,0.18100,0.87495,-0.05607,0.78330,0.18435,0.81576,0.16903,0.84688,0.07096,0.98212,-0.06680,0.86139,0.06800,0.98100
1650045399.94008,0.04046,-0.65432,-0.17162,0.99996,0.04620,-0.68766,-0.15174,0.99984,0.04648,-0.68809,-0.15113,0.99985,0.04636,-0.68856,-0.15109,0.99980,0.01792,-0.68514,-0.15241,0.99989,0.01852,-0.68614,-0.15290,0.99991,0.01838,-0.68732,-0.15234,0.99991,0.08444,-0.66823,-0.03784,0.99964,-0.05249,-0.66402,-0.05553,0.99991,0.05556,-0.62888,-0.13201,0.99988,0.01635,-0.62625,-0.13648,0.99994,0.15318,-0.50685,-0.02771,0.99982,-0.15599,-0.46945,0.00882,0.99993,0.09934,-0.40052,-0.18902,0.98883,-0.21719,-0.21183,0.04878,0.98189,-0.07439,-0.49163,-0.37811,0.98106,-0.25438,-0.00033,-0.00770,0.96797,-0.12577,-0.47926,-0.42337,0.95175,-0.25374,0.07001,-0.02580,0.93691,-0.14465,-0.49945,-0.41633,0.94971,-0.24509,0.06920,-0.04937,0.93994,-0.09393,-0.49768,-0.37788,0.94053,-0.24310,0.01390,-0.01879,0.92781,0.11402,0.00138,0.00582,0.99986,-0.11424,-0.00192,-0.00457,0.99985,0.09762,0.41915,-0.00551,0.99217,-0.07550,0.39165,0.02075,0.99346,0.14069,0.73634,0.17383,0.98604,-0.06162,0.73863,0.17977,0.98758,0.14999,0.77873,0.18405,0.87069,-0.05912,0.78438,0.18656,0.81022,0.16664,0.85019,0.07316,0.98219,-0.06758,0.86451,0.06910,0.98053
1650045399.95549,0.04046,-0.65432,-0.17162,0.99996,0.04620,-0.68766,-0.15174,0.99984,0.04648,-0.68809,-0.15113,0.99985,0.04636,-0.68856,-0.15109,0.99980,0.01792,-0.68514,-0.15241,0.99989,0.01852,-0.68614,-0.15290,0.99991,0.01838,-0.68732,-0.15234,0.99991,0.08444,-0.66823,-0.03784,0.99964,-0.05249,-0.66402,-0.05553,0.99991,0.05556,-0.62888,-0.13201,0.99988,0.01635,-0.62625,-0.13648,0.99994,0.15318,-0.50685,-0.02771,0.99982,-0.15599,-0.46945,0.00882,0.99993,0.09934,-0.40052,-0.18902,0.98883,-0.21719,-0.21183,0.04878,0.98189,-0.07439,-0.49163,-0.37811,0.98106,-0.25438,-0.00033,-0.00770,0.96797,-0.12577,-0.47926,-0.42337,0.95175,-0.25374,0.07001,-0.02580,0.93691,-0.14465,-0.49945,-0.41633,0.94971,-0.24509,0.06920,-0.04937,0.93994,-0.09393,-0.49768,-0.37788,0.94053,-0.24310,0.01390,-0.01879,0.92781,0.11402,0.00138,0.00582,0.99986,-0.11424,-0.00192,-0.00457,0.99985,0.09762,0.41915,-0.00551,0.99217,-0.07550,0.39165,0.02075,0.99346,0.14069,0.73634,0.17383,0.98604,-0.06162,0.73863,0.17977,0.98758,0.14999,0.77873,0.18405,0.87069,-0.05912,0.78438,0.18656,0.81022,0.16664,0.85019,0.07316,0.98219,-0.06758,0.86451,0.06910,0.98053
1650045399.97181,0.03621,-0.65131,-0.17016,0.99997,0.04421,-0.68577,-0.15096,0.99985,0.04454,-0.68618,-0.15036,0.99986,0.04441,-0.68667,-0.15030,0.99982,0.01459,-0.68357,-0.15103,0.99990,0.01514,-0.68452,-0.15157,0.99991,0.01491,-0.68573,-0.15099,0.99992,0.08380,-0.66784,-0.03692,0.99966,-0.05516,-0.66396,-0.05340,0.99991,0.05223,-0.62626,-0.13031,0.99989,0.01133,-0.62415,-0.13433,0.99994,0.15073,-0.49686,-0.02786,0.99983,-0.15786,-0.46986,0.01174,0.99993,0.08999,-0.35446,-0.17681,0.98881,-0.21422,-0.21127,0.04656,0.98084,-0.08744,-0.42787,-0.35643,0.98229,-0.24252,-0.00139,-0.02301,0.96632,-0.14029,-0.41164,-0.40065,0.95497,-0.24319,0.06926,-0.04581,0.93472,-0.15797,-0.43560,-0.39679,0.95309,-0.23260,0.06749,-0.07031,0.93777,-0.10695,-0.43496,-0.35720,0.94384,-0.23054,0.01256,-0.03476,0.92512,0.11389,0.00097,0.00577,0.99987,-0.11409,-0.00153,-0.00452,0.99985,0.09725,0.41829,-0.00344,0.99232,-0.07608,0.39202,0.02154,0.99332,0.14147,0.73629,0.17471,0.98620,-0.06478,0.73981,0.17827,0.98752,0.15090,0.77867,0.18496,0.86860,-0.06275,0.78551,0.18538,0.80615,0.16845,0.85053,0.07380,0.98233,-0.06992,0.86599,0.06800,0.98029
1650045399.98824,0.03621,-0.65131,-0.17016,0.99997,0.04421,-0.68577,-0.15096,0.99985,0.04454,-0.68618,-0.15036,0.99986,0.04441,-0.68667,-0.15030,0.99982,0.01459,-0.68357,-0.15103,0.99990,0.01514,-0.68452,-0.15157,0.99991,0.01491,-0.68573,-0.15099,0.99992,0.08380,-0.66784,-0.03692,0.99966,-0.05516,-0.66396,-0.05340,0.99991,0.05223,-0.62626,-0.13031,0.99989,0.01133,-0.62415,-0.13433,0.99994,0.15073,-0.49686,-0.02786,0.99983,-0.15786,-0.46986,0.01174,0.99993,0.08999,-0.35446,-0.17681,0.98881,-0.21422,-0.21127,0.04656,0.98084,-0.08744,-0.42787,-0.35643,0.98229,-0.24252,-0.00139,-0.02301,0.96632,-0.14029,-0.41164,-0.40065,0.95497,-0.24319,0.06926,-0.04581,0.93472,-0.15797,-0.43560,-0.39679,0.95309,-0.23260,0.06749,-0.07031,0.93777,-0.10695,-0.43496,-0.35720,0.94384,-0.23054,0.01256,-0.03476,0.92512,0.11389,0.00097,0.00577,0.99987,-0.11409,-0.00153,-0.00452,0.99985,0.09725,0.41829,-0.00344,0.99232,-0.07608,0.39202,0.02154,0.99332,0.14147,0.73629,0.17471,0.98620,-0.06478,0.73981,0.17827,0.98752,0.15090,0.77867,0.18496,0.86860,-0.06275,0.78551,0.18538,0.80615,0.16845,0.85053,0.07380,0.98233,-0.06992,0.86599,0.06800,0.98029
1650045400.00576,0.03177,-0.64415,-0.20007,0.99997,0.04026,-0.68050,-0.17985,0.99987,0.04063,-0.68090,-0.17925,0.99987,0.04050,-0.68139,-0.17923,0.99983,0.00863,-0.67824,-0.18062,0.99990,0.00917,-0.67909,-0.18126,0.99992,0.00890,-0.68034,-0.18056,0.99992,0.08046,-0.66636,-0.05845,0.99969,-0.06591,-0.66250,-0.07683,0.99991,0.04822,-0.62048,-0.15756,0.99990,0.00526,-0.61824,-0.16180,0.99995,0.14781,-0.49023,-0.03738,0.99985,-0.16682,-0.47013,0.00302,0.99993,0.09747,-0.30449,-0.16787,0.98919,-0.22195,-0.21128,0.04551,0.98136,-0.07333,-0.30949,-0.35209,0.98366,-0.24439,-0.00074,-0.04024,0.96678,-0.12636,-0.27582,-0.39847,0.95844,-0.24345,0.07521,-0.06468,0.93543,-0.14612,-0.30192,-0.40229,0.95674,-0.23165,0.06790,-0.08952,0.93842,-0.09392,-0.31446,-0.35500,0.94760,-0.23142,0.01294,-0.05191,0.92564,0.11387,0.00059,0.00621,0.99985,-0.11406,-0.00121,-0.00497,0.99984,0.09974,0.41761,-0.00021,0.99251,-0.07631,0.39210,0.01884,0.99337,0.14377,0.73539,0.17599,0.98648,-0.06685,0.74025,0.17287,0.98767,0.15304,0.77783,0.18632,0.86894,-0.06511,0.78603,0.18035,0.80438,0.17064,0.85075,0.07454,0.98259,-0.07313,0.86701,0.05869,0.98033
