timestamp,x00,y00,z00,vis00,x01,y01,z01,vis01,x02,y02,z02,vis02,x03,y03,z03,vis03,x04,y04,z04,vis04,x05,y05,z05,vis05,x06,y06,z06,vis06,x07,y07,z07,vis07,x08,y08,z08,vis08,x09,y09,z09,vis09,x10,y10,z10,vis10,x11,y11,z11,vis11,x12,y12,z12,vis12,x13,y13,z13,vis13,x14,y14,z14,vis14,x15,y15,z15,vis15,x16,y16,z16,vis16,x17,y17,z17,vis17,x18,y18,z18,vis18,x19,y19,z19,vis19,x20,y20,z20,vis20,x21,y21,z21,vis21,x22,y22,z22,vis22,x23,y23,z23,vis23,x24,y24,z24,vis24,x25,y25,z25,vis25,x26,y26,z26,vis26,x27,y27,z27,vis27,x28,y28,z28,vis28,x29,y29,z29,vis29,x30,y30,z30,vis30,x31,y31,z31,vis31,x32,y32,z32,vis32
1650045688.63771,-0.01001,-0.54272,-0.01954,0.69146,-0.00164,-0.57501,-0.00021,0.70563,-0.00137,-0.57564,0.00042,0.70755,-0.00151,-0.57602,0.00017,0.73055,-0.02771,-0.57623,0.00060,0.70885,-0.02720,-0.57704,0.00006,0.70664,-0.02784,-0.57828,0.00075,0.72251,0.03403,-0.56056,0.10191,0.77302,-0.08952,-0.57578,0.08877,0.72251,0.00260,-0.52036,0.01531,0.80702,-0.03387,-0.52289,0.01257,0.79460,0.05627,-0.40734,0.07999,0.93502,-0.10738,-0.43731,0.16338,0.95466,0.06405,-0.18604,0.01566,0.31188,-0.07195,-0.20475,0.14985,0.50418,0.02915,-0.05162,-0.03649,0.26472,-0.07883,-0.04935,0.03163,0.35661,0.02777,0.00009,-0.04866,0.26561,-0.07485,-0.00287,0.01280,0.36707,0.00746,-0.01145,-0.05371,0.26821,-0.07703,-0.00920,0.00471,0.36417,0.01964,-0.04336,-0.03957,0.26790,-0.07260,-0.04037,0.02368,0.35420,0.04521,-0.01879,-0.00803,0.96239,-0.04447,0.01811,0.00991,0.96536,0.01455,0.14736,-0.11234,0.47287,0.21013,0.16303,-0.15503,0.61208,0.11862,0.38396,-0.12407,0.46860,0.64127,0.31657,-0.24171,0.53740,0.14089,0.41058,-0.12600,0.45757,0.69174,0.33509,-0.24779,0.57759,0.12503,0.44860,-0.18408,0.45217,0.74636,0.36864,-0.31244,0.50901
1650045688.65405,0.00718,-0.55008,-0.05597,0.72231,0.01485,-0.58757,-0.03590,0.73505,0.01496,-0.58787,-0.03519,0.73677,0.01473,-0.58837,-0.03529,0.75748,-0.01773,-0.58565,-0.03900,0.73795,-0.01726,-0.58649,-0.03963,0.73596,-0.01793,-0.58763,-0.03903,0.75025,0.05110,-0.58646,0.08548,0.79567,-0.08967,-0.58710,0.05092,0.75024,0.02132,-0.53063,-0.01412,0.82625,-0.02257,-0.52996,-0.02268,0.81508,0.09330,-0.43677,0.12478,0.94142,-0.12046,-0.43830,0.10389,0.95907,0.11113,-0.24523,0.12590,0.30696,-0.10971,-0.22116,0.11019,0.49106,0.10565,-0.13032,0.06124,0.25325,-0.06671,-0.07940,0.03923,0.33811,0.10691,-0.08568,0.04750,0.25443,-0.05248,-0.03571,0.02692,0.34927,0.10135,-0.09832,0.02954,0.25684,-0.05739,-0.04549,0.01880,0.34720,0.10146,-0.12547,0.05425,0.25752,-0.05750,-0.07353,0.03540,0.33924,0.07205,0.00921,-0.00564,0.96604,-0.07187,-0.00983,0.00740,0.96875,0.02255,0.32029,-0.07786,0.49300,-0.09964,0.08549,-0.15612,0.63874,0.12994,0.49674,-0.03632,0.47962,0.12659,0.32487,-0.21336,0.55729,0.14641,0.51986,-0.03515,0.47384,0.14841,0.35703,-0.21320,0.58807,0.16500,0.57598,-0.08771,0.45873,0.15407,0.44782,-0.28070,0.52470
1650045688.67044,0.04912,-0.56536,-0.25543,0.74984,0.05394,-0.60531,-0.24208,0.76099,0.05430,-0.60560,-0.24164,0.76240,0.05383,-0.60632,-0.24155,0.78100,0.02021,-0.60195,-0.24964,0.76372,0.02056,-0.60255,-0.25039,0.76191,0.01988,-0.60378,-0.25000,0.77487,0.08048,-0.61552,-0.11861,0.81469,-0.06497,-0.60712,-0.16296,0.77475,0.06236,-0.55125,-0.20749,0.84317,0.01878,-0.54835,-0.21828,0.83333,0.14088,-0.47638,-0.00277,0.94704,-0.12556,-0.43891,-0.10941,0.96312,0.16045,-0.31227,0.08560,0.30959,-0.18265,-0.22005,-0.05274,0.53988,0.18936,-0.18357,0.03464,0.25582,-0.17621,0.00205,-0.11026,0.39032,0.19935,-0.12800,0.02213,0.25387,-0.17714,0.07101,-0.12145,0.39043,0.18727,-0.13213,0.01136,0.25717,-0.15473,0.06604,-0.14302,0.38949,0.18320,-0.17362,0.02775,0.25864,-0.16030,0.01418,-0.11943,0.38343,0.08735,0.00677,-0.00409,0.96840,-0.08763,-0.00729,0.00581,0.97127,0.05790,0.32614,0.07724,0.46803,-0.04072,0.30767,0.02174,0.62044,0.12309,0.55767,0.25366,0.45007,-0.00313,0.60640,0.15907,0.52994,0.13702,0.58980,0.26947,0.44655,0.00174,0.64599,0.17226,0.55301,0.16827,0.65244,0.19281,0.43498,0.03490,0.71680,0.08137,0.49707
1650045688.68683,0.04912,-0.56536,-0.25543,0.74984,0.05394,-0.60531,-0.24208,0.76099,0.05430,-0.60560,-0.24164,0.76240,0.05383,-0.60632,-0.24155,0.78100,0.02021,-0.60195,-0.24964,0.76372,0.02056,-0.60255,-0.25039,0.76191,0.01988,-0.60378,-0.25000,0.77487,0.08048,-0.61552,-0.11861,0.81469,-0.06497,-0.60712,-0.16296,0.77475,0.06236,-0.55125,-0.20749,0.84317,0.01878,-0.54835,-0.21828,0.83333,0.14088,-0.47638,-0.00277,0.94704,-0.12556,-0.43891,-0.10941,0.96312,0.16045,-0.31227,0.08560,0.30959,-0.18265,-0.22005,-0.05274,0.53988,0.18936,-0.18357,0.03464,0.25582,-0.17621,0.00205,-0.11026,0.39032,0.19935,-0.12800,0.02213,0.25387,-0.17714,0.07101,-0.12145,0.39043,0.18727,-0.13213,0.01136,0.25717,-0.15473,0.06604,-0.14302,0.38949,0.18320,-0.17362,0.02775,0.25864,-0.16030,0.01418,-0.11943,0.38343,0.08735,0.00677,-0.00409,0.96840,-0.08763,-0.00729,0.00581,0.97127,0.05790,0.32614,0.07724,0.46803,-0.04072,0.30767,0.02174,0.62044,0.12309,0.55767,0.25366,0.45007,-0.00313,0.60640,0.15907,0.52994,0.13702,0.58980,0.26947,0.44655,0.00174,0.64599,0.17226,0.55301,0.16827,0.65244,0.19281,0.43498,0.03490,0.71680,0.08137,0.49707
1650045688.70227,0.05764,-0.61488,-0.27640,0.77482,0.06033,-0.65544,-0.26361,0.78480,0.06071,-0.65580,-0.26322,0.78606,0.06027,-0.65649,-0.26309,0.80279,0.02786,-0.65096,-0.27145,0.78727,0.02811,-0.65158,-0.27227,0.78564,0.02765,-0.65283,-0.27159,0.79731,0.08310,-0.66385,-0.14232,0.83299,-0.05908,-0.65085,-0.18754,0.79718,0.07023,-0.59960,-0.22904,0.85878,0.02795,-0.59550,-0.23989,0.84996,0.15323,-0.51579,-0.04484,0.95226,-0.13552,-0.47275,-0.13272,0.96679,0.15354,-0.33054,0.04160,0.34366,-0.21447,-0.26503,-0.08617,0.58475,0.15215,-0.16454,-0.05374,0.29319,-0.21403,-0.04547,-0.14548,0.44381,0.15348,-0.09810,-0.08363,0.28311,-0.21397,0.02617,-0.16138,0.43717,0.13865,-0.09738,-0.10830,0.28714,-0.18945,0.02405,-0.18370,0.43689,0.14264,-0.15052,-0.06558,0.28734,-0.19752,-0.03169,-0.15571,0.43161,0.09508,0.00405,0.00791,0.97133,-0.09538,-0.00462,-0.00605,0.97401,0.06108,0.34674,0.11151,0.50900,-0.10812,0.33742,0.07311,0.65198,0.10917,0.61055,0.31826,0.48891,-0.11544,0.64488,0.24994,0.56621,0.11798,0.64612,0.33669,0.47800,-0.11548,0.68600,0.26489,0.56876,0.15831,0.71131,0.25550,0.47565,-0.11907,0.76156,0.17386,0.53215
1650045688.71861,0.05764,-0.61488,-0.27640,0.77482,0.06033,-0.65544,-0.26361,0.78480,0.06071,-0.65580,-0.26322,0.78606,0.06027,-0.65649,-0.26309,0.80279,0.02786,-0.65096,-0.27145,0.78727,0.02811,-0.65158,-0.27227,0.78564,0.02765,-0.65283,-0.27159,0.79731,0.08310,-0.66385,-0.14232,0.83299,-0.05908,-0.65085,-0.18754,0.79718,0.07023,-0.59960,-0.22904,0.85878,0.02795,-0.59550,-0.23989,0.84996,0.15323,-0.51579,-0.04484,0.95226,-0.13552,-0.47275,-0.13272,0.96679,0.15354,-0.33054,0.04160,0.34366,-0.21447,-0.26503,-0.08617,0.58475,0.15215,-0.16454,-0.05374,0.29319,-0.21403,-0.04547,-0.14548,0.44381,0.15348,-0.09810,-0.08363,0.28311,-0.21397,0.02617,-0.16138,0.43717,0.13865,-0.09738,-0.10830,0.28714,-0.18945,0.02405,-0.18370,0.43689,0.14264,-0.15052,-0.06558,0.28734,-0.19752,-0.03169,-0.15571,0.43161,0.09508,0.00405,0.00791,0.97133,-0.09538,-0.00462,-0.00605,0.97401,0.06108,0.34674,0.11151,0.50900,-0.10812,0.33742,0.07311,0.65198,0.10917,0.61055,0.31826,0.48891,-0.11544,0.64488,0.24994,0.56621,0.11798,0.64612,0.33669,0.47800,-0.11548,0.68600,0.26489,0.56876,0.15831,0.71131,0.25550,0.47565,-0.11907,0.76156,0.17386,0.53215
1650045688.73494,0.05562,-0.62936,-0.28722,0.79732,0.05994,-0.66943,-0.27495,0.80626,0.06027,-0.66983,-0.27450,0.80738,0.05990,-0.67043,-0.27439,0.82243,0.02746,-0.66546,-0.28011,0.80850,0.02768,-0.66614,-0.28098,0.80703,0.02733,-0.66738,-0.28021,0.81754,0.08864,-0.67482,-0.15472,0.84952,-0.05563,-0.66508,-0.18947,0.81740,0.07004,-0.61248,-0.24086,0.87285,0.02745,-0.60935,-0.24904,0.86493,0.16684,-0.51855,-0.06361,0.95694,-0.14374,-0.48825,-0.12980,0.97010,0.15354,-0.31224,0.01059,0.37483,-0.21268,-0.26486,-0.08219,0.62420,0.15087,-0.13254,-0.08769,0.31640,-0.21325,-0.03787,-0.13526,0.48652,0.15030,-0.06417,-0.11919,0.30133,-0.21317,0.03697,-0.15155,0.47248,0.13682,-0.06381,-0.14696,0.30604,-0.19319,0.03325,-0.17607,0.47320,0.14064,-0.11855,-0.10004,0.30419,-0.19811,-0.02434,-0.14616,0.46818,0.10201,0.00188,0.01362,0.97404,-0.10239,-0.00251,-0.01184,0.97654,0.06556,0.36723,0.12992,0.55552,-0.12372,0.35314,0.09985,0.68525,0.10909,0.64730,0.35202,0.53617,-0.12943,0.66385,0.28162,0.60685,0.11815,0.68468,0.37065,0.51940,-0.13043,0.70511,0.29588,0.59581,0.16387,0.74987,0.27895,0.52298,-0.15705,0.77481,0.19337,0.57372
1650045688.75036,0.05562,-0.62936,-0.28722,0.79732,0.05994,-0.66943,-0.27495,0.80626,0.06027,-0.66983,-0.27450,0.80738,0.05990,-0.67043,-0.27439,0.82243,0.02746,-0.66546,-0.28011,0.80850,0.02768,-0.66614,-0.28098,0.80703,0.02733,-0.66738,-0.28021,0.81754,0.08864,-0.67482,-0.15472,0.84952,-0.05563,-0.66508,-0.18947,0.81740,0.07004,-0.61248,-0.24086,0.87285,0.02745,-0.60935,-0.24904,0.86493,0.16684,-0.51855,-0.06361,0.95694,-0.14374,-0.48825,-0.12980,0.97010,0.15354,-0.31224,0.01059,0.37483,-0.21268,-0.26486,-0.08219,0.62420,0.15087,-0.13254,-0.08769,0.31640,-0.21325,-0.03787,-0.13526,0.48652,0.15030,-0.06417,-0.11919,0.30133,-0.21317,0.03697,-0.15155,0.47248,0.13682,-0.06381,-0.14696,0.30604,-0.19319,0.03325,-0.17607,0.47320,0.14064,-0.11855,-0.10004,0.30419,-0.19811,-0.02434,-0.14616,0.46818,0.10201,0.00188,0.01362,0.97404,-0.10239,-0.00251,-0.01184,0.97654,0.06556,0.36723,0.12992,0.55552,-0.12372,0.35314,0.09985,0.68525,0.10909,0.64730,0.35202,0.53617,-0.12943,0.66385,0.28162,0.60685,0.11815,0.68468,0.37065,0.51940,-0.13043,0.70511,0.29588,0.59581,0.16387,0.74987,0.27895,0.52298,-0.15705,0.77481,0.19337,0.57372
1650045688.76682,0.05857,-0.62836,-0.28565,0.81758,0.06414,-0.66825,-0.27170,0.82561,0.06449,-0.66870,-0.27121,0.82661,0.06419,-0.66929,-0.27113,0.84016,0.03145,-0.66581,-0.27787,0.82763,0.03171,-0.66657,-0.27868,0.82630,0.03147,-0.66785,-0.27782,0.83576,0.09183,-0.67190,-0.14853,0.86449,-0.05366,-0.66865,-0.18818,0.83563,0.07173,-0.61066,-0.23885,0.88555,0.02875,-0.60916,-0.24847,0.87843,0.16879,-0.50780,-0.05616,0.96122,-0.15072,-0.49500,-0.12821,0.97308,0.15219,-0.28769,0.00927,0.41770,-0.21661,-0.25794,-0.08326,0.66084,0.15041,-0.10551,-0.09622,0.35775,-0.21631,-0.02556,-0.15430,0.53332,0.14811,-0.06100,-0.12652,0.33625,-0.21530,0.05270,-0.17662,0.51645,0.13482,-0.06121,-0.15786,0.34154,-0.19510,0.04875,-0.20583,0.51756,0.13955,-0.09161,-0.10963,0.33731,-0.20088,-0.01092,-0.16739,0.51210,0.10702,0.00127,0.01694,0.97658,-0.10733,-0.00195,-0.01518,0.97886,0.07038,0.40359,0.11507,0.59921,-0.13470,0.37821,0.07114,0.71615,0.10785,0.70445,0.31071,0.58131,-0.13569,0.70055,0.24716,0.64514,0.11765,0.74441,0.32598,0.56052,-0.13601,0.74373,0.25921,0.62455,0.16032,0.81849,0.22891,0.56886,-0.16068,0.81793,0.14607,0.61445
1650045688.78229,0.05857,-0.62836,-0.28565,0.81758,0.06414,-0.66825,-0.27170,0.82561,0.06449,-0.66870,-0.27121,0.82661,0.06419,-0.66929,-0.27113,0.84016,0.03145,-0.66581,-0.27787,0.82763,0.03171,-0.66657,-0.27868,0.82630,0.03147,-0.66785,-0.27782,0.83576,0.09183,-0.67190,-0.14853,0.86449,-0.05366,-0.66865,-0.18818,0.83563,0.07173,-0.61066,-0.23885,0.88555,0.02875,-0.60916,-0.24847,0.87843,0.16879,-0.50780,-0.05616,0.96122,-0.15072,-0.49500,-0.12821,0.97308,0.15219,-0.28769,0.00927,0.41770,-0.21661,-0.25794,-0.08326,0.66084,0.15041,-0.10551,-0.09622,0.35775,-0.21631,-0.02556,-0.15430,0.53332,0.14811,-0.06100,-0.12652,0.33625,-0.21530,0.05270,-0.17662,0.51645,0.13482,-0.06121,-0.15786,0.34154,-0.19510,0.04875,-0.20583,0.51756,0.13955,-0.09161,-0.10963,0.33731,-0.20088,-0.01092,-0.16739,0.51210,0.10702,0.00127,0.01694,0.97658,-0.10733,-0.00195,-0.01518,0.97886,0.07038,0.40359,0.11507,0.59921,-0.13470,0.37821,0.07114,0.71615,0.10785,0.70445,0.31071,0.58131,-0.13569,0.70055,0.24716,0.64514,0.11765,0.74441,0.32598,0.56052,-0.13601,0.74373,0.25921,0.62455,0.16032,0.81849,0.22891,0.56886,-0.16068,0.81793,0.14607,0.61445
