timestamp,x00,y00,z00,vis00,x01,y01,z01,vis01,x02,y02,z02,vis02,x03,y03,z03,vis03,x04,y04,z04,vis04,x05,y05,z05,vis05,x06,y06,z06,vis06,x07,y07,z07,vis07,x08,y08,z08,vis08,x09,y09,z09,vis09,x10,y10,z10,vis10,x11,y11,z11,vis11,x12,y12,z12,vis12,x13,y13,z13,vis13,x14,y14,z14,vis14,x15,y15,z15,vis15,x16,y16,z16,vis16,x17,y17,z17,vis17,x18,y18,z18,vis18,x19,y19,z19,vis19,x20,y20,z20,vis20,x21,y21,z21,vis21,x22,y22,z22,vis22,x23,y23,z23,vis23,x24,y24,z24,vis24,x25,y25,z25,vis25,x26,y26,z26,vis26,x27,y27,z27,vis27,x28,y28,z28,vis28,x29,y29,z29,vis29,x30,y30,z30,vis30,x31,y31,z31,vis31,x32,y32,z32,vis32
1650045343.62999,0.04385,-0.64672,-0.17783,1.00000,0.05411,-0.68240,-0.15792,0.99999,0.05454,-0.68286,-0.15728,0.99999,0.05440,-0.68335,-0.15730,0.99998,0.02298,-0.68227,-0.16522,0.99999,0.02348,-0.68342,-0.16572,0.99999,0.02322,-0.68447,-0.16511,0.99999,0.08353,-0.66905,-0.03175,0.99997,-0.06075,-0.67288,-0.08121,1.00000,0.05321,-0.62175,-0.13243,0.99999,0.01124,-0.62173,-0.14717,1.00000,0.14850,-0.51805,-0.00047,0.99989,-0.16697,-0.47999,-0.02337,0.99997,0.21445,-0.56936,-0.12662,0.99406,-0.20528,-0.22251,0.02119,0.98150,0.07303,-0.72989,-0.25295,0.98839,-0.25108,-0.00926,-0.02855,0.97021,0.02286,-0.73456,-0.28262,0.96069,-0.25397,0.06014,-0.03585,0.94005,0.00040,-0.75344,-0.27219,0.95820,-0.25144,0.06699,-0.06343,0.94281,0.05337,-0.73899,-0.25142,0.95059,-0.24333,0.00702,-0.03916,0.93126,0.11241,0.00067,0.01173,0.99989,-0.11279,-0.00117,-0.01071,0.99989,0.08230,0.42548,0.00723,0.99309,-0.07517,0.39857,-0.00294,0.99507,0.12292,0.74083,0.16811,0.98683,-0.05880,0.75176,0.14228,0.99255,0.13387,0.78329,0.17572,0.88496,-0.05552,0.79791,0.14615,0.85890,0.17590,0.84576,0.07179,0.98472,-0.06793,0.87260,0.02496,0.98688
1650045343.64629,0.04223,-0.65048,-0.16381,0.99999,0.05184,-0.68518,-0.14459,0.99997,0.05227,-0.68562,-0.14390,0.99996,0.05212,-0.68608,-0.14390,0.99995,0.02060,-0.68404,-0.15173,0.99998,0.02109,-0.68518,-0.15224,0.99998,0.02083,-0.68622,-0.15173,0.99998,0.07795,-0.66945,-0.02578,0.99992,-0.06200,-0.67195,-0.07541,0.99998,0.05204,-0.62458,-0.12097,0.99998,0.01080,-0.62335,-0.13532,0.99999,0.14744,-0.51877,-0.00216,0.99987,-0.16796,-0.47934,-0.02281,0.99996,0.19185,-0.54801,-0.14079,0.99374,-0.20436,-0.22380,0.01398,0.97994,0.01861,-0.71447,-0.29246,0.98791,-0.24979,-0.01167,-0.03847,0.96794,-0.03836,-0.72448,-0.32690,0.95907,-0.25330,0.05845,-0.04767,0.93688,-0.06331,-0.73923,-0.31197,0.95629,-0.25103,0.06496,-0.07388,0.93962,-0.00320,-0.72956,-0.28938,0.94750,-0.24213,0.00500,-0.04885,0.92670,0.11235,0.00057,0.01203,0.99988,-0.11271,-0.00106,-0.01101,0.99988,0.08271,0.42249,0.00710,0.99278,-0.07301,0.39845,-0.00237,0.99472,0.12333,0.73715,0.16953,0.98640,-0.05933,0.75128,0.14282,0.99224,0.13424,0.77937,0.17747,0.88289,-0.05594,0.79738,0.14691,0.85584,0.17558,0.84316,0.07337,0.98453,-0.06768,0.87209,0.02571,0.98650
1650045343.66287,0.04149,-0.65102,-0.15559,0.99999,0.05104,-0.68552,-0.13627,0.99996,0.05147,-0.68596,-0.13560,0.99996,0.05132,-0.68641,-0.13561,0.99994,0.01983,-0.68431,-0.14081,0.99997,0.02030,-0.68545,-0.14131,0.99998,0.02003,-0.68649,-0.14080,0.99998,0.08079,-0.66944,-0.01923,0.99990,-0.06039,-0.67187,-0.05788,0.99998,0.05264,-0.62504,-0.11356,0.99997,0.01109,-0.62375,-0.12461,0.99999,0.14931,-0.51841,-0.00208,0.99986,-0.16696,-0.47925,-0.00229,0.99996,0.17529,-0.50924,-0.15067,0.99320,-0.20121,-0.22361,0.03286,0.97797,0.00818,-0.63630,-0.32479,0.98745,-0.25043,-0.01133,-0.03279,0.96533,-0.04475,-0.63315,-0.36173,0.95836,-0.25446,0.05959,-0.04684,0.93344,-0.06558,-0.65177,-0.35153,0.95546,-0.25282,0.06585,-0.07280,0.93632,-0.01192,-0.64527,-0.32364,0.94568,-0.24310,0.00520,-0.04419,0.92240,0.11233,0.00046,0.01203,0.99987,-0.11268,-0.00095,-0.01100,0.99987,0.08427,0.42087,0.00670,0.99231,-0.07124,0.39841,-0.00240,0.99442,0.12497,0.73612,0.16659,0.98567,-0.05748,0.75189,0.13738,0.99182,0.13601,0.77826,0.17445,0.87879,-0.05440,0.79792,0.14120,0.85019,0.17701,0.84200,0.06990,0.98400,-0.06326,0.87267,0.02058,0.98579
1650045343.67868,0.04274,-0.65094,-0.14415,0.99999,0.05186,-0.68541,-0.12483,0.99996,0.05226,-0.68585,-0.12416,0.99995,0.05210,-0.68630,-0.12412,0.99994,0.02062,-0.68421,-0.12960,0.99997,0.02107,-0.68533,-0.13009,0.99997,0.02078,-0.68639,-0.12954,0.99998,0.08170,-0.66944,-0.00622,0.99989,-0.06033,-0.67182,-0.04678,0.99998,0.05390,-0.62499,-0.10114,0.99997,0.01209,-0.62369,-0.11256,0.99999,0.14928,-0.51759,0.00591,0.99986,-0.16700,-0.48029,0.00974,0.99996,0.16312,-0.45138,-0.14316,0.99283,-0.20183,-0.22357,0.04271,0.97724,-0.00550,-0.54593,-0.32172,0.98775,-0.25072,-0.00938,-0.02632,0.96480,-0.05852,-0.53650,-0.35962,0.95978,-0.25605,0.06248,-0.04193,0.93317,-0.08204,-0.55649,-0.35206,0.95694,-0.25310,0.06946,-0.06990,0.93606,-0.02700,-0.55283,-0.32159,0.94686,-0.24355,0.00798,-0.03824,0.92183,0.11201,0.00020,0.01398,0.99987,-0.11230,-0.00069,-0.01291,0.99988,0.08540,0.42064,0.01094,0.99196,-0.07144,0.39982,-0.00475,0.99427,0.12544,0.73626,0.16722,0.98529,-0.05786,0.75688,0.12180,0.99172,0.13651,0.77848,0.17535,0.87823,-0.05478,0.80279,0.12495,0.84806,0.18048,0.84216,0.07129,0.98385,-0.06394,0.87739,0.00563,0.98560
1650045343.69443,0.03631,-0.64403,-0.14270,0.99999,0.04659,-0.67917,-0.12357,0.99996,0.04695,-0.67959,-0.12292,0.99995,0.04679,-0.68005,-0.12291,0.99994,0.01494,-0.67852,-0.12775,0.99997,0.01536,-0.67962,-0.12823,0.99997,0.01501,-0.68072,-0.12763,0.99997,0.07851,-0.66568,-0.00439,0.99989,-0.06564,-0.66986,-0.04229,0.99997,0.04766,-0.61936,-0.09933,0.99997,0.00518,-0.61877,-0.10988,0.99999,0.14524,-0.50661,0.01312,0.99987,-0.17351,-0.48147,0.01840,0.99996,0.16305,-0.38692,-0.13854,0.99275,-0.20829,-0.22418,0.05516,0.97702,0.01459,-0.46724,-0.31842,0.98839,-0.25136,-0.00912,-0.01751,0.96507,-0.03438,-0.45635,-0.35742,0.96211,-0.25670,0.06494,-0.03471,0.93396,-0.05714,-0.47939,-0.35255,0.95946,-0.25360,0.07090,-0.06329,0.93680,-0.00608,-0.47513,-0.31919,0.94942,-0.24429,0.00834,-0.02943,0.92248,0.11176,0.00006,0.01560,0.99987,-0.11200,-0.00055,-0.01451,0.99988,0.08600,0.42066,0.01230,0.99156,-0.07255,0.39990,-0.00551,0.99401,0.12550,0.73623,0.17166,0.98463,-0.06040,0.75680,0.12456,0.99145,0.13653,0.77844,0.18036,0.87715,-0.05848,0.80267,0.12826,0.84462,0.18207,0.84224,0.07971,0.98328,-0.06789,0.87721,0.00843,0.98512
1650045343.71035,0.02979,-0.63873,-0.14646,0.99999,0.04129,-0.67446,-0.12791,0.99996,0.04167,-0.67487,-0.12728,0.99995,0.04149,-0.67535,-0.12730,0.99994,0.00913,-0.67416,-0.13041,0.99997,0.00956,-0.67521,-0.13088,0.99997,0.00916,-0.67634,-0.13025,0.99997,0.07656,-0.66205,-0.00969,0.99989,-0.06950,-0.66782,-0.04357,0.99997,0.04217,-0.61470,-0.10362,0.99997,-0.00105,-0.61469,-0.11196,0.99999,0.14445,-0.49296,0.00976,0.99988,-0.17864,-0.48152,0.01555,0.99996,0.16290,-0.34802,-0.13712,0.99292,-0.21291,-0.22334,0.05612,0.97661,0.01248,-0.43809,-0.32967,0.98908,-0.25224,-0.00494,-0.01739,0.96465,-0.03951,-0.43056,-0.37082,0.96447,-0.25710,0.07269,-0.03286,0.93335,-0.05969,-0.46022,-0.36832,0.96202,-0.25439,0.07585,-0.06182,0.93620,-0.00835,-0.44980,-0.33078,0.95199,-0.24464,0.01227,-0.02926,0.92133,0.11174,-0.00020,0.01568,0.99987,-0.11198,-0.00032,-0.01458,0.99988,0.08626,0.42069,0.02043,0.99153,-0.07262,0.39958,-0.00550,0.99397,0.12548,0.73622,0.18062,0.98475,-0.06050,0.75670,0.12624,0.99148,0.13649,0.77844,0.18897,0.87883,-0.05862,0.80258,0.13019,0.84393,0.18178,0.84296,0.08684,0.98348,-0.06850,0.87710,0.00986,0.98517
1650045343.72675,0.02979,-0.63873,-0.14646,0.99999,0.04129,-0.67446,-0.12791,0.99996,0.04167,-0.67487,-0.12728,0.99995,0.04149,-0.67535,-0.12730,0.99994,0.00913,-0.67416,-0.13041,0.99997,0.00956,-0.67521,-0.13088,0.99997,0.00916,-0.67634,-0.13025,0.99997,0.07656,-0.66205,-0.00969,0.99989,-0.06950,-0.66782,-0.04357,0.99997,0.04217,-0.61470,-0.10362,0.99997,-0.00105,-0.61469,-0.11196,0.99999,0.14445,-0.49296,0.00976,0.99988,-0.17864,-0.48152,0.01555,0.99996,0.16290,-0.34802,-0.13712,0.99292,-0.21291,-0.22334,0.05612,0.97661,0.01248,-0.43809,-0.32967,0.98908,-0.25224,-0.00494,-0.01739,0.96465,-0.03951,-0.43056,-0.37082,0.96447,-0.25710,0.07269,-0.03286,0.93335,-0.05969,-0.46022,-0.36832,0.96202,-0.25439,0.07585,-0.06182,0.93620,-0.00835,-0.44980,-0.33078,0.95199,-0.24464,0.01227,-0.02926,0.92133,0.11174,-0.00020,0.01568,0.99987,-0.11198,-0.00032,-0.01458,0.99988,0.08626,0.42069,0.02043,0.99153,-0.07262,0.39958,-0.00550,0.99397,0.12548,0.73622,0.18062,0.98475,-0.06050,0.75670,0.12624,0.99148,0.13649,0.77844,0.18897,0.87883,-0.05862,0.80258,0.13019,0.84393,0.18178,0.84296,0.08684,0.98348,-0.06850,0.87710,0.00986,0.98517
1650045343.74226,0.02533,-0.63548,-0.15863,0.99999,0.03622,-0.67191,-0.14119,0.99996,0.03658,-0.67229,-0.14057,0.99996,0.03638,-0.67280,-0.14062,0.99995,0.00393,-0.67087,-0.14153,0.99997,0.00435,-0.67189,-0.14202,0.99997,0.00393,-0.67304,-0.14132,0.99997,0.07507,-0.66074,-0.02512,0.99989,-0.07146,-0.66431,-0.04900,0.99997,0.03958,-0.61222,-0.11659,0.99998,-0.00371,-0.61153,-0.12203,0.99999,0.14586,-0.48262,0.00534,0.99989,-0.17866,-0.48143,0.01398,0.99996,0.16325,-0.30104,-0.13505,0.99326,-0.21290,-0.21833,0.05645,0.97627,0.02570,-0.39254,-0.33564,0.98994,-0.25278,0.00323,-0.01755,0.96452,-0.02383,-0.38709,-0.37840,0.96736,-0.25759,0.08536,-0.03227,0.93324,-0.04117,-0.42306,-0.38017,0.96514,-0.25485,0.08462,-0.06218,0.93612,0.00612,-0.40792,-0.33812,0.95558,-0.24488,0.01956,-0.02959,0.92086,0.11173,-0.00037,0.01603,0.99987,-0.11196,-0.00017,-0.01493,0.99988,0.08801,0.42043,0.03494,0.99146,-0.07270,0.39917,-0.00564,0.99409,0.12642,0.73532,0.20613,0.98501,-0.05977,0.75660,0.12540,0.99174,0.13755,0.77756,0.21502,0.88236,-0.05810,0.80248,0.12937,0.84699,0.18400,0.84181,0.11420,0.98379,-0.06866,0.87697,0.00819,0.98556
1650045343.75856,0.02533,-0.63548,-0.15863,0.99999,0.03622,-0.67191,-0.14119,0.99996,0.03658,-0.67229,-0.14057,0.99996,0.03638,-0.67280,-0.14062,0.99995,0.00393,-0.67087,-0.14153,0.99997,0.00435,-0.67189,-0.14202,0.99997,0.00393,-0.67304,-0.14132,0.99997,0.07507,-0.66074,-0.02512,0.99989,-0.07146,-0.66431,-0.04900,0.99997,0.03958,-0.61222,-0.11659,0.99998,-0.00371,-0.61153,-0.12203,0.99999,0.14586,-0.48262,0.00534,0.99989,-0.17866,-0.48143,0.01398,0.99996,0.16325,-0.30104,-0.13505,0.99326,-0.21290,-0.21833,0.05645,0.97627,0.02570,-0.39254,-0.33564,0.98994,-0.25278,0.00323,-0.01755,0.96452,-0.02383,-0.38709,-0.37840,0.96736,-0.25759,0.08536,-0.03227,0.93324,-0.04117,-0.42306,-0.38017,0.96514,-0.25485,0.08462,-0.06218,0.93612,0.00612,-0.40792,-0.33812,0.95558,-0.24488,0.01956,-0.02959,0.92086,0.11173,-0.00037,0.01603,0.99987,-0.11196,-0.00017,-0.01493,0.99988,0.08801,0.42043,0.03494,0.99146,-0.07270,0.39917,-0.00564,0.99409,0.12642,0.73532,0.20613,0.98501,-0.05977,0.75660,0.12540,0.99174,0.13755,0.77756,0.21502,0.88236,-0.05810,0.80248,0.12937,0.84699,0.18400,0.84181,0.11420,0.98379,-0.06866,0.87697,0.00819,0.98556
1650045343.77403,0.02300,-0.63456,-0.22408,0.99999,0.03426,-0.67093,-0.20517,0.99996,0.03461,-0.67132,-0.20451,0.99996,0.03444,-0.67183,-0.20465,0.99995,0.00157,-0.67016,-0.20569,0.99997,0.00198,-0.67111,-0.20634,0.99997,0.00157,-0.67229,-0.20550,0.99998,0.07504,-0.65773,-0.08494,0.99990,-0.07259,-0.66255,-0.10600,0.99997,0.03830,-0.61064,-0.18161,0.99998,-0.00553,-0.61020,-0.18641,0.99999,0.14847,-0.46813,-0.03529,0.99990,-0.17910,-0.47999,-0.02269,0.99997,0.16922,-0.26547,-0.14625,0.99378,-0.21299,-0.21596,0.04199,0.97575,0.04091,-0.32028,-0.36856,0.99086,-0.25309,0.00365,-0.04690,0.96461,-0.00741,-0.30465,-0.41477,0.97033,-0.25794,0.08567,-0.06499,0.93359,-0.02490,-0.34515,-0.42299,0.96833,-0.25505,0.08344,-0.09844,0.93651,0.02176,-0.33672,-0.37272,0.95945,-0.24522,0.01949,-0.06132,0.92090,0.11191,-0.00039,0.01625,0.99987,-0.11214,-0.00016,-0.01516,0.99988,0.09023,0.42045,0.03412,0.99163,-0.07276,0.39808,-0.00309,0.99426,0.12645,0.73352,0.21814,0.98560,-0.05983,0.75015,0.15157,0.99206,0.13752,0.77568,0.22740,0.88829,-0.05819,0.79577,0.15800,0.85142,0.18384,0.84187,0.12277,0.98437,-0.07022,0.87149,0.03147,0.98610
1650045343.79040,0.02300,-0.63456,-0.22408,0.99999,0.03426,-0.67093,-0.20517,0.99996,0.03461,-0.67132,-0.20451,0.99996,0.03444,-0.67183,-0.20465,0.99995,0.00157,-0.67016,-0.20569,0.99997,0.00198,-0.67111,-0.20634,0.99997,0.00157,-0.67229,-0.20550,0.99998,0.07504,-0.65773,-0.08494,0.99990,-0.07259,-0.66255,-0.10600,0.99997,0.03830,-0.61064,-0.18161,0.99998,-0.00553,-0.61020,-0.18641,0.99999,0.14847,-0.46813,-0.03529,0.99990,-0.17910,-0.47999,-0.02269,0.99997,0.16922,-0.26547,-0.14625,0.99378,-0.21299,-0.21596,0.04199,0.97575,0.04091,-0.32028,-0.36856,0.99086,-0.25309,0.00365,-0.04690,0.96461,-0.00741,-0.30465,-0.41477,0.97033,-0.25794,0.08567,-0.06499,0.93359,-0.02490,-0.34515,-0.42299,0.96833,-0.25505,0.08344,-0.09844,0.93651,0.02176,-0.33672,-0.37272,0.95945,-0.24522,0.01949,-0.06132,0.92090,0.11191,-0.00039,0.01625,0.99987,-0.11214,-0.00016,-0.01516,0.99988,0.09023,0.42045,0.03412,0.99163,-0.07276,0.39808,-0.00309,0.99426,0.12645,0.73352,0.21814,0.98560,-0.05983,0.75015,0.15157,0.99206,0.13752,0.77568,0.22740,0.88829,-0.05819,0.79577,0.15800,0.85142,0.18384,0.84187,0.12277,0.98437,-0.07022,0.87149,0.03147,0.98610
